total_violations,fix_diff,percent_pre_resolved,percent_resolved_during,count_overdue_filed_since_pandemic,count_overdue,count_filed_since_pandemic,mean_days_overdue,overdue_mean_days_since_inspection,pre_pandemic_resolved_count,pre_pandemic_mean_resolution_days,count_resolved_during_pandemic,count_resolved_filed_since_pandemic,count_overdue_a,count_overdue_b,count_overdue_c,max_overdue,buildingid,borough,boroid,registrationid,housenumber,lowhousenumber,highhousenumber,streetcode,streetname,postcode,block,lot,bin,bbl,nta
63,0.9642857142857143,0.9642857142857143,0.0,28,29,35,45,95,27,15,0,0,0,21,8,547,125738,,2,205503,1475,1475,1475,78750,WYTHE PLACE,10452,2844,95,2008119,2028440095,West Concourse
83,0.9166666666666666,1.0,0.08333333333333333,30,30,72,20,59,11,34,6,6,0,16,14,91,189589,,3,341351,1102,1102,1124,14130,AVENUE K,11230,6722,1,3180189,3067220001,Midwood
59,0.9166666666666666,0.9166666666666666,0.0,30,30,47,63,118,11,18,0,0,4,21,5,179,89477,,2,210567,740,740,740,43520,KELLY STREET,10455,2708,31,2005559,2027080031,Longwood
56,0.803030303030303,0.9166666666666666,0.11363636363636363,28,29,44,44,64,11,25,5,5,0,2,27,524,294967,,3,302510,402,402,402,41730,FOSTER AVENUE,11230,6501,18,3170298,3065010018,Flatbush
590,0.7829941860465116,0.9767441860465116,0.19375,42,45,160,48,92,420,2,33,31,0,24,21,508,81696,,2,202861,1420,1412,1448,36420,GRAND CONCOURSE,10456,2832,8,2007988,2028320008,East Concourse-Concourse Village
183,0.7185194294146582,0.8026315789473685,0.08411214953271028,70,85,107,68,106,61,11,9,9,0,45,40,355,2516,,1,102494,1274,1274,1274,10410,5 AVENUE,10029,1614,69,1051595,1016140069,East Harlem South
114,0.7089481946624803,0.7551020408163265,0.046153846153846156,36,46,65,101,135,37,28,3,3,0,9,37,348,806352,,2,221679,2040,2040,2042,15920,BRUCKNER BOULEVARD,10473,3682,1,2092771,2036820001,Westchester-Unionport
211,0.6729471316085489,0.7086614173228346,0.03571428571428571,40,70,84,154,200,90,26,9,3,8,20,42,596,93977,,2,203586,754,752,756,48820,MANIDA STREET,10474,2763,136,2006524,2027630136,Hunts Point
254,0.6589080459770115,0.6839080459770115,0.025,30,70,80,205,267,119,8,5,2,9,43,18,598,806886,,2,222174,20,20,20,61330,RICHMAN PLAZA,10453,2882,229,2127134,2028820229,University Heights-Morris Heights
146,0.6511761331038439,0.6987951807228916,0.047619047619047616,35,45,63,109,166,58,15,7,3,6,27,12,492,327173,,3,311832,221,211,225,56230,LINDEN BOULEVARD,11226,5085,75,3344031,3050850075,Prospect Lefferts Gardens-Wingate
163,0.625,0.625,0.0,28,56,59,170,231,65,27,4,0,6,44,6,508,29071,,1,117190,82,82,88,32890,WADSWORTH TERRACE,10040,2170,353,1064093,1021700353,Washington Heights North
184,0.6132610006027728,0.7904761904761904,0.17721518987341772,29,50,79,168,220,83,34,14,14,6,21,23,491,309216,,3,301542,170,162,180,48230,HAWTHORNE STREET,11225,5046,28,3115700,3050460028,Prospect Lefferts Gardens-Wingate
57,0.6,0.6,0.0,27,34,37,108,170,12,17,0,0,12,6,16,572,67067,,2,201183,220,220,220,27570,EAST 197 STREET,10458,3304,156,2017158,2033040156,Bedford Park-Fordham North
362,0.5946969696969697,0.5946969696969697,0.0,35,76,98,186,240,157,4,7,0,11,32,33,578,103016,,2,205846,1840,1840,1840,58120,PHELAN PLACE,10453,2879,235,2009144,2028790235,University Heights-Morris Heights
61,0.5909090909090909,0.5909090909090909,0.0,34,42,39,60,95,13,29,0,0,1,12,29,490,687254,,4,407602,41-08,41-08,41-10,58590,PARSONS BOULEVARD,11355,5048,29,4114663,4050480029,Flushing
376,0.5877423389618511,0.7723577235772358,0.18461538461538463,54,77,130,91,134,190,10,56,24,0,41,36,588,309623,,3,374312,7,7,29,48330,HEGEMAN AVENUE,11212,3621,1,3082700,3036210001,Brownsville
194,0.5862068965517241,0.5862068965517241,0.0,28,66,78,190,244,68,28,4,0,4,43,19,516,42987,,1,118730,671,671,681,37010,WEST 162 STREET,10032,2136,205,1063342,1021360205,Washington Heights South
348,0.5731343283582089,0.6231343283582089,0.05,31,84,80,220,274,167,17,10,4,14,45,25,559,27343,,1,128637,736,736,736,29690,RIVERSIDE DRIVE,10031,2097,47,1062452,1020970047,Hamilton Heights
253,0.571379781420765,0.6041666666666666,0.03278688524590164,27,73,61,189,250,116,16,6,2,9,52,12,552,367940,,3,302381,434,434,456,75430,SCHENECTADY AVENUE,11203,1429,32,3038503,3014290032,Prospect Lefferts Gardens-Wingate
144,0.5547122074636306,0.7311827956989247,0.17647058823529413,37,54,51,102,163,68,15,10,9,14,20,20,561,809564,,3,332986,1566,1566,1566,81430,STERLING PLACE,11213,1380,18,3324646,3013800018,Crown Heights North
266,0.5431034482758621,0.5431034482758621,0.0,56,106,150,101,156,63,7,0,0,17,63,26,354,28075,,1,141183,222,222,222,31190,ST NICHOLAS AVENUE,10027,1927,2,1058491,1019270002,Central Harlem South
221,0.5427807486631016,0.6310160427807486,0.08823529411764706,26,40,34,165,203,118,10,3,3,2,16,22,569,93693,,2,203568,1485,1485,1485,48220,MACOMBS ROAD,10452,2857,28,2008301,2028570028,Highbridge
162,0.5338983050847458,0.5338983050847458,0.0,33,60,44,105,159,63,31,1,0,5,40,15,590,3411,,1,127443,1974,1974,1974,10610,ADAM C POWELL BOULEVARD,10026,1924,36,1058427,1019240036,Central Harlem South
160,0.5321042593769867,0.6859504132231405,0.15384615384615385,27,50,39,159,216,83,26,14,6,11,19,20,425,250398,,3,333126,426,426,430,35780,EAST 22 STREET,11226,5185,16,3119515,3051850016,Flatbush
313,0.5242200328407225,0.8690476190476191,0.3448275862068966,40,53,145,90,131,146,6,56,50,0,17,36,612,51000,,2,201101,1025,1025,1025,14220,BOYNTON AVENUE,10472,3714,54,2023480,2037140054,Soundview-Bruckner
177,0.5240040858018387,0.6363636363636364,0.11235955056179775,26,48,89,162,211,56,32,19,10,8,20,20,543,187561,,3,300451,3613,3613,3623,13880,AVENUE D,11203,4953,39,3111621,3049530039,East Flatbush-Farragut
410,0.5237418831168831,0.640625,0.11688311688311688,81,125,154,79,148,164,2,49,18,24,59,42,459,77585,,2,211434,805,805,805,32120,FAIRMOUNT PLACE,10460,2955,40,2010049,2029550040,East Tremont
234,0.523302752293578,0.56,0.03669724770642202,68,106,109,90,146,70,27,4,4,5,76,25,542,66460,,2,205235,786,786,788,27120,EAST 182 STREET,10460,3110,63,2012965,2031100063,East Tremont
160,0.5202375371151743,0.569620253164557,0.04938271604938271,46,76,81,152,212,45,14,4,4,10,48,18,583,119879,,2,206330,2334,2334,2334,73120,WASHINGTON AVENUE,10458,3053,74,2011631,2030530074,Claremont-Bathgate
533,0.5160603080957062,0.5530973451327433,0.037037037037037035,43,106,81,228,274,250,9,25,3,6,59,41,537,94506,,2,203139,1967,1967,1971,49520,MARMION AVENUE,10460,3107,36,2012951,2031070036,East Tremont
367,0.51291435302036,0.5724381625441696,0.05952380952380952,51,144,84,181,244,162,9,5,5,26,94,24,572,27590,,1,103462,165,165,175,30490,SHERMAN AVENUE,10034,2221,11,1064768,1022210011,Marble Hill-Inwood
145,0.5108695652173914,0.5108695652173914,0.0,33,70,53,173,238,47,29,0,0,16,44,10,571,4175,,1,127101,2819,2819,2823,10810,FREDERICK DOUGLASS BOULEVARD,10039,2046,7,1060854,1020460007,Central Harlem North-Polo Grounds
530,0.49816358943815764,0.5525114155251142,0.05434782608695652,44,177,92,251,314,242,3,5,5,27,90,60,589,808705,,3,374310,765,765,765,55930,LINCOLN AVENUE,11208,4271,9001,3343260,3042719001,East New York
196,0.49435956018849064,0.5369127516778524,0.0425531914893617,31,66,47,179,240,80,24,2,2,5,27,34,582,99400,,2,221359,660,660,660,53720,NEREID AVENUE,10470,5041,26,2069759,2050410026,Woodlawn-Wakefield
214,0.479960019990005,0.5379310344827586,0.057971014492753624,35,73,69,142,190,78,12,9,4,6,40,27,531,520396,,4,420381,109-15,109-01,109-15,20240,MERRICK BOULEVARD,11433,10262,11,4218721,4102620011,South Jamaica
120,0.475,0.475,0.0,66,76,80,54,80,19,19,0,0,2,18,56,315,3581,,1,102788,2394,2392,2398,10610,ADAM C POWELL BOULEVARD,10030,2025,34,1060372,1020250034,Central Harlem North-Polo Grounds
