count_overdue_filed_since_pandemic,count_overdue,count_filed_since_pandemic,mean_days_overdue,overdue_mean_days_since_inspection,pre_pandemic_resolved_count,pre_pandemic_mean_resolution_days,count_resolved_during_pandemic,count_resolved_filed_since_pandemic,count_overdue_a,count_overdue_b,count_overdue_c,max_overdue,buildingid,borough,boroid,registrationid,housenumber,lowhousenumber,highhousenumber,streetcode,streetname,postcode,apartment,story,block,lot,bin,bbl,nta,total_violations
241,272,422,4,53,0,0,0,14,41,133,98,432,329403,,3,330412,105,105,105,57630,LUQUER STREET,11231,5,2,373,43,3005481,3003730043,Carroll Gardens-Columbia Street-Red Hook,455
129,166,162,108,162,46,26,5,25,30,84,52,578,94400,,2,200611,2700,2700,2700,49420,MARION AVENUE,10458,3C,3,3283,6,2016494,2032830006,Bedford Park-Fordham North,254
100,261,156,90,141,10,24,5,12,37,141,83,486,100414,,2,203313,3435,3435,3435,55520,OLINVILLE AVENUE,10467,5J,5,4627,29,2056937,2046270029,Williamsbridge-Olinville,366
99,193,126,143,195,23,57,0,8,21,125,47,625,388951,,3,300693,941,941,941,89730,WASHINGTON AVENUE,11225,6H,6,1192,18,3029726,3011920018,Crown Heights South,320
95,134,112,124,172,0,0,0,5,9,93,32,590,146094,,3,328160,227,227,227,7480,23 STREET,11232,,1,646,51,3009466,3006460051,Sunset Park West,160
94,143,234,128,177,0,0,0,5,16,71,56,572,322222,,3,337308,503,503,503,54130,LAFAYETTE AVENUE,11205,3R,3,1783,97,3049763,3017830097,Bedford,288
92,255,123,131,186,0,0,0,6,10,122,123,591,58374,,2,200475,540,536,540,21020,CONCORD AVENUE,10455,,2,2580,18,2003945,2025800018,Mott Haven-Port Morris,319
88,139,310,126,182,35,40,6,9,30,34,75,498,42879,,1,115522,645,645,645,36970,WEST 160 STREET,10032,6G,6,2136,90,1063323,1021360090,Washington Heights South,448
85,478,124,111,157,0,0,0,26,58,238,182,592,115582,,2,215542,1821,1821,1821,69220,TOPPING AVENUE,10457,3,3,2800,44,2007522,2028000044,Mount Hope,655
81,125,154,71,142,195,2,49,34,24,59,42,458,77585,,2,211434,805,805,805,32120,FAIRMOUNT PLACE,10460,4A,4,2955,40,2010049,2029550040,East Tremont,410
79,170,105,128,191,108,12,19,12,23,103,44,591,366318,,3,312618,257,257,257,75130,SARATOGA AVENUE,11233,3A,3,1562,7,3042427,3015620007,Ocean Hill,322
78,95,126,57,101,55,39,27,23,4,50,41,398,49167,,2,201545,2409,2409,2411,12020,BEAUMONT AVENUE,10458,10,3,3090,23,2012542,2030900023,Belmont,198
78,120,106,121,179,0,0,0,4,26,51,43,563,337401,,3,322747,317,317,317,60930,MILFORD STREET,11208,2F,2,4262,13,3095619,3042620013,East New York,152
78,113,151,98,141,16,34,0,7,9,38,66,573,42028,,1,126397,269,269,269,36690,WEST 146 STREET,10039,2A,1,2032,7,1060498,1020320007,Central Harlem North-Polo Grounds,225
78,321,107,239,301,0,0,0,0,52,209,60,586,491277,,4,403699,88-42,88-42,88-42,17340,85 STREET,11421,1L,1,8915,38,4183453,4089150038,Woodhaven,362
77,227,184,136,192,104,14,17,39,30,68,129,585,111945,,2,205779,1149,1149,1151,67120,STRATFORD AVENUE,10472,2C,3,3743,63,2023994,2037430063,Soundview-Bruckner,851
73,638,128,136,187,11,59,18,23,97,404,137,572,297545,,3,375183,1593,1593,1625,42730,FULTON STREET,11213,C108,1,1684,1,3047699,3016840001,Stuyvesant Heights,757
71,113,112,92,146,0,0,0,2,17,75,21,589,31891,,1,125653,136,136,138,34330,WEST 28 STREET,10001,22E,5,803,60,1015092,1008030060,Midtown-Midtown South,172
70,100,135,82,145,80,14,19,30,17,60,23,423,362422,,3,345974,266,266,266,73430,ROCHESTER AVENUE,11213,3B,3,1391,37,3037369,3013910037,Crown Heights North,277
69,140,218,142,187,0,0,0,7,21,43,76,582,129026,,3,307470,4112,4112,4124,5430,4 AVENUE,11232,3E,3,718,43,3010690,3007180043,Sunset Park West,341
69,84,107,68,107,61,11,9,21,0,45,39,354,2516,,1,102494,1274,1274,1274,10410,5 AVENUE,10029,,1,1614,69,1051595,1016140069,East Harlem South,183
68,123,105,152,203,0,0,0,11,11,81,31,584,196320,,3,342284,2113,2113,2123,14680,AVENUE V,11229,,,7354,36,3199860,3073540036,Madison,170
68,106,109,93,145,70,27,4,5,5,76,25,541,66460,,2,205235,786,786,788,27120,EAST 182 STREET,10460,4F,4,3110,63,2012965,2031100063,East Tremont,234
68,241,180,200,261,45,15,9,25,45,117,79,541,377800,,3,320388,2,2,2,82130,STODDARD PLACE,11225,6J,6,1304,24,3034361,3013040024,Crown Heights South,485
67,157,85,99,152,0,0,0,9,30,79,48,313,122236,,2,209708,1535,1533,1535,76950,WESTCHESTER AVENUE,10472,1A,1,3773,3,2025161,2037730003,West Farms-Bronx River,190
66,76,80,53,79,19,19,0,4,2,18,56,314,3581,,1,102788,2394,2392,2398,10610,ADAM C POWELL BOULEVARD,10030,,Fire Escape,2025,34,1060372,1020250034,Central Harlem North-Polo Grounds,120
66,201,123,225,268,0,0,0,27,23,107,71,618,338089,,3,329826,719,719,719,61030,MILLER AVENUE,11207,,Basement,4304,71,3096792,3043040071,East New York (Pennsylvania Ave),315
64,106,99,127,178,14,49,4,4,15,48,43,571,109439,,2,208644,1267,1267,1269,64620,SHERIDAN AVENUE,10456,5D,6,2457,52,2002777,2024570052,East Concourse-Concourse Village,208
63,177,161,138,176,153,8,62,33,4,71,102,513,48170,,2,205917,2324,2324,2324,11320,BASSFORD AVENUE,10458,26,5,3053,25,2011622,2030530025,Claremont-Bathgate,450
62,109,130,120,186,135,31,35,10,13,63,33,504,60058,,2,208916,1890,1890,1890,22720,CROTONA PARKWAY,10460,3,1,2985,13,2010617,2029850013,East Tremont,374
61,153,168,207,263,119,9,0,98,33,73,47,622,108628,,2,206286,1515,1515,1515,63920,SELWYN AVENUE,10457,3A,5,2819,51,2007821,2028190051,East Concourse-Concourse Village,725
61,81,121,96,143,16,45,0,7,8,40,33,570,292837,,3,332255,611,611,611,40930,FLATBUSH AVENUE,11225,4A,4,5037,6,3115284,3050370006,Prospect Lefferts Gardens-Wingate,174
61,84,129,73,127,12,32,9,19,9,52,23,321,811253,,4,421696,141,141,141,31430,BEACH 56 PLACE,11692,917,9,15926,1,4459306,4159260001,Hammels-Arverne-Edgemere,171
60,186,66,154,210,4,32,0,4,18,130,38,445,289024,,3,330177,1,1,9,39230,ELTON STREET,11208,3F,3,3909,8,3086553,3039090008,Cypress Hills-City Line,218
60,111,85,177,229,0,0,0,4,11,55,45,613,266747,,3,308487,397,397,403,36980,EAST 49 STREET,11203,,1,4675,45,3102099,3046750045,Rugby-Remsen Village,150
59,114,109,135,178,1,34,0,2,10,65,39,488,20563,,1,104983,14,14,14,19450,EAST 125 STREET,10035,2W,2,1749,64,1054016,1017490064,East Harlem North,191
59,59,127,9,63,0,0,0,12,1,45,13,152,386861,,3,317901,651,651,651,88030,VERMONT STREET,11207,2R,2,3842,10,3085618,3038420010,East New York (Pennsylvania Ave),128
59,248,85,224,276,0,0,0,4,66,101,81,515,116950,,2,204910,2352,2352,2352,70620,UNIVERSITY AVENUE,10468,3N,3,3212,55,2014610,2032120055,Kingsbridge Heights,322
59,110,100,128,167,115,40,0,3,7,44,59,511,88276,,2,200087,941,941,945,42020,INTERVALE AVENUE,10459,2B,2,2697,45,2005359,2026970045,Longwood,300
59,128,159,177,232,132,20,35,29,22,61,45,579,72228,,2,205248,686,686,686,28650,EAST 234 STREET,10466,B3,3,4994,80,2068069,2049940080,Williamsbridge-Olinville,388
58,175,89,182,245,9,25,0,12,35,74,66,589,306283,,3,359880,829,829,829,46730,HALSEY STREET,11233,3R,3,1491,55,3039971,3014910055,Stuyvesant Heights,295
56,284,97,174,238,0,0,0,7,51,140,93,575,359188,,3,318012,285,285,287,73050,QUINCY STREET,11216,2D,3,1803,72,3050643,3018030072,Bedford,375
56,106,150,103,156,63,7,0,5,17,63,26,353,28075,,1,141183,222,222,222,31190,ST NICHOLAS AVENUE,10027,3A,3,1927,2,1058491,1019270002,Central Harlem South,266
